depth,f100
4.93454087315354,0
14.8774787795415,1.48635318134027E-06
25.1158413262529,2.98967175263454E-06
35.9450531536113,6.3977607566712E-06
47.6605389019401,1.89590265819162E-05
60.5577232115628,7.45532862566622E-05
74.9320307228029,0.000318223393054
91.0788860759838,0.000980591496555
109.293713911429,0.003079110464345
129.871938869462,0.00951320493893
153.108985590406,0.018074594048734
179.300278714585,0.03079446713589
208.741242882323,0.047547961468019
241.727302733942,0.075365708463098
278.553882909766,0.107022175015176
319.516408050119,0.132941469673545
364.910302795324,0.158212072256168
415.030991785704,0.187251434726672
470.173899661584,0.229432092196913
530.634451063286,0.273293549579981
596.708070631134,0.332958001046519
668.690183005452,0.389325363347826
746.876212826562,0.45433357853099
831.561584734789,0.539038250539589
923.041723370456,0.621960637713968
1021.61205337389,0.709999937265658
1127.5679993854,0.759819332963093
1241.20498604533,0.811208163528601
1362.81843799399,0.850088661958872
1492.70377987171,0.877876093026647
1631.15643631881,0.883311849911536
1778.47183197562,0.899137674058228
1934.94539148245,0.908107898728561
2100.87253947963,0.920517051162244
2276.54870060749,0.933997525954305
2462.26929950634,0.942091602111019
2658.32976081652,0.955872467593286
2865.02550917834,0.954419874425266
3082.65196923213,0.963098958337662
3311.50456561821,0.970503747420353
3551.87872297691,0.976571798601272
3804.06986594855,0.986817238037646
4068.37341917345,0.98980551833561
4345.08480729194,0.99234779671809
4634.49945494433,0.993430963654309
4936.91278677096,0.999406296969514
5252.62022741214,0.999967120809714
5581.91720150821,0.999988395469588
